[P]([H])c3ccccc3)[NH2])C)(C)C,0,13
[P](c1ccccc1)[OH])C)([OH])[OH])(c2ccccc2)[NH2],0,3
[P](c3ccccc3)C)[OH])([H])C,0,13
[P](c2ccccc2)[OH])([H])C)c3ccccc3)([NH2])c4ccccc4,0,8
[P]([H])[OH])C)(C)C,0,8
[P]([OH])[H])(C)C,0,13
[P]([NH2])c2ccccc2)[H])(C)[NH2],0,8
[P]([H])[OH])([OH])[H])[H])(c2ccccc2)[H],0,8
[P](C)[H])([NH2])C)([NH2])[NH2],0,8
[P]([OH])C)(C)[NH2])C)(c1ccccc1)[OH],0,3
[P]([NH2])C)([H])[NH2])(c2ccccc2)[NH2],0,8
[P](c2ccccc2)C)c3ccccc3)([H])[H],0,8
[P](C)[NH2])[OH])(c2ccccc2)c3ccccc3,0,8
[P](c2ccccc2)[NH2])([OH])[H])[OH])(C)[NH2],0,8
[P]([OH])[NH2])(C)c2ccccc2)c3ccccc3)(c4ccccc4)C,0,8
[P](C)[H])[NH2])([H])[OH],0,8
[P]([NH2])[H])([H])[OH])([OH])[H])([H])[NH2],0,3
[P]([H])c1ccccc1)[H])[NH2])([NH2])[OH],0,3
[P](C)[H])([OH])C)([H])C,0,8
[P](c2ccccc2)c3ccccc3)[H])c4ccccc4)([H])C,0,8
[P]([H])[NH2])[H])c3ccccc3)([H])[H],0,13
[P](C)c2ccccc2)([OH])c3ccccc3)[OH])([H])C,0,8
[P](C)[OH])([OH])[NH2],0,13
[P](C)c2ccccc2)[OH])(c3ccccc3)[H],0,8
[P]([NH2])C)C)([NH2])[OH],0,8
[P]([OH])c2ccccc2)([OH])[OH])[NH2])([NH2])c3ccccc3,0,8
[P]([OH])C)[NH2])c2ccccc2)([OH])[NH2],0,8
[P](C)c2ccccc2)([H])[OH])(C)C,0,8
[P]([H])[H])[H])([OH])[OH],0,8
[P]([H])[NH2])[OH])([H])C)(c2ccccc2)C,0,8
[P](c2ccccc2)c3ccccc3)([H])c4ccccc4)[OH])(C)C,0,8
[P](c2ccccc2)[H])[H])c3ccccc3)(c4ccccc4)C,0,8
[P](C)[NH2])[OH])([OH])[OH],0,13
[P]([NH2])[OH])([OH])c3ccccc3,0,13
[P](c3ccccc3)C)[OH])(C)[OH],0,13
[P]([H])[NH2])(C)[H])([OH])[H])([NH2])[H],0,3
[P]([OH])c2ccccc2)C)([OH])c3ccccc3,0,8
[P](C)c1ccccc1)[H])([NH2])[H])(C)[OH],0,3
[P]([OH])[H])(C)[H])([OH])[H])(C)[H],0,3
[P]([OH])[NH2])c1ccccc1)(C)[OH])([OH])[NH2],0,3
[P](c1ccccc1)[H])[OH])[OH])([H])c2ccccc2,0,3
[P]([NH2])[NH2])[OH])c1ccccc1)(C)c2ccccc2,0,3
[P]([NH2])C)C)[H])([OH])[H],0,8
[P](C)c1ccccc1)c2ccccc2)([H])[H])([NH2])[OH],0,3
[P](c3ccccc3)C)[OH])[H])(C)[H],0,13
[P]([OH])[NH2])[OH])c3ccccc3)([H])C,0,13
[P]([H])[NH2])([H])[H],0,13
[P]([NH2])[H])c2ccccc2)[OH])(c3ccccc3)C,0,8
[P](C)[H])C)c2ccccc2)([NH2])[NH2],0,8
[P](c2ccccc2)[H])[NH2])[NH2])(C)[OH],0,8
[P](C)[OH])(C)[NH2],0,13
[P]([H])C)[NH2])([NH2])[NH2],0,13
[P](C)[NH2])(C)[NH2])(C)[H])(C)C,0,3
[P](c1ccccc1)[H])([H])C)[NH2])([OH])[OH],0,3
[P](c2ccccc2)C)[NH2])([OH])C,0,8
[P](c2ccccc2)[OH])([H])c3ccccc3)([NH2])[H],0,8
[P]([OH])c1ccccc1)[NH2])([NH2])C)([H])c2ccccc2,0,3
[P](C)[H])[NH2])[OH])(C)[OH],0,13
[P]([NH2])[NH2])C)(c1ccccc1)[OH])([OH])[NH2],0,3
[P]([NH2])c1ccccc1)([H])[OH])([NH2])[OH])([H])C,0,3
[P]([H])[OH])(c2ccccc2)C)([OH])[OH],0,8
[P]([H])[H])[NH2])([OH])[H],0,13
[P](c2ccccc2)[OH])[OH])([H])[OH],0,8
[P](C)[NH2])C)[H])([NH2])c1ccccc1,0,3
[P]([OH])c2ccccc2)(C)C)(C)[OH],0,8
[P](C)[NH2])[OH])[H])([NH2])c3ccccc3,0,13
[P]([NH2])[OH])C)(c2ccccc2)[OH],0,8
[P](c2ccccc2)[NH2])(C)[H])[H])([NH2])[NH2],0,8
[P]([NH2])[NH2])(c1ccccc1)[H])C)(C)[H],0,3
[P](C)[OH])[H])[H])(c2ccccc2)c3ccccc3,0,8
[P]([OH])[H])C)[NH2])([NH2])[H],0,8
[P]([H])[NH2])[NH2])(C)[NH2],0,8
[P]([NH2])c1ccccc1)(C)[NH2])([H])[OH])([NH2])[H],0,3
[P](C)c2ccccc2)C)([NH2])[NH2])(C)[NH2],0,8
[P](C)C)[H])(c2ccccc2)c3ccccc3,0,8
[P](C)[NH2])[NH2])[OH])([OH])[H],0,3
[P]([H])[H])([NH2])c2ccccc2)([H])C,0,8
[P]([OH])[NH2])c2ccccc2)(C)C)(c3ccccc3)c4ccccc4,0,8
[P]([H])c2ccccc2)c3ccccc3)(C)c4ccccc4,0,8
[P](C)c2ccccc2)(C)c3ccccc3)C)(c4ccccc4)C,0,8
[P]([H])[OH])(c1ccccc1)c2ccccc2)c3ccccc3)(c4ccccc4)C,0,3
[P]([OH])c2ccccc2)([OH])[NH2])c3ccccc3)([H])[H],0,8
[P](c2ccccc2)c3ccccc3)[H])(c4ccccc4)[NH2])([H])[H],0,8
[P](c3ccccc3)C)[H])c4ccccc4)([OH])[NH2],0,13
[P]([OH])C)C)[NH2])(C)[H],0,8
[P]([H])[NH2])([H])[H])(c2ccccc2)C,0,8
[P]([H])c3ccccc3)C)[NH2])([OH])[H],0,13
[P](c1ccccc1)[H])[OH])c2ccccc2)([NH2])[OH],0,3
[P]([H])C)[H])(c2ccccc2)[NH2])([H])C,0,8
[P](C)c1ccccc1)([OH])[OH])([NH2])[OH])([H])c2ccccc2,0,3
[P](c3ccccc3)[OH])[OH])c4ccccc4)([H])[H],0,13
[P](c1ccccc1)[NH2])(C)[OH])[OH])(c2ccccc2)C,0,3
[P](C)[H])([NH2])c3ccccc3,0,13
[P](c2ccccc2)c3ccccc3)([OH])[OH])[OH])([H])c4ccccc4,0,8
[P](c3ccccc3)C)[H])([H])C,0,13
[P](c2ccccc2)C)c3ccccc3)[NH2])(C)C,0,8
[P](C)[H])[H])(c2ccccc2)C)(C)C,0,8
[P]([OH])[NH2])[H])[NH2])([H])[OH],0,8
[P]([OH])[OH])C)C)(c1ccccc1)[H],0,3
